data/SM2miR2.csv,bert_mole_dense,0.7806122448979592±0.0,0.7611940298507462±0.0,0.7643979057591623±0.0,0.7627959678049543±0.0,0.8158855718570691±0.0,0.7584415584415584±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR2.csv,bert_mole_attention,0.7678571428571429±0.0,0.7761194029850746±0.0,0.7591623036649214±0.0,0.7676408533249981±0.0,0.8198335685886369±0.0,0.7611548556430446±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR2.csv,onehot_mole_capsule,0.7755102040816326±0.0,0.7711442786069652±0.0,0.7801047120418848±0.0,0.7756244953244249±0.0,0.825675066643653±0.0,0.772020725388601±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR2.csv,onehot_mole_dense,0.7959183673469388±0.0,0.7412935323383084±0.0,0.7696335078534031±0.0,0.7554635200958558±0.0,0.8102859365746351±0.0,0.7538461538461538±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR2.csv,bert_smolemolefusion_capsule,0.7729591836734694±0.0,0.736318407960199±0.0,0.8115183246073299±0.0,0.7739183662837643±0.0,0.8242736834967576±0.0,0.7769423558897244±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR2.csv,bert_smolemolefusion_dense,0.7551020408163265±0.0,0.7014925373134329±0.0,0.8115183246073299±0.0,0.7565054309603814±0.0,0.8121426459296734±0.0,0.7635467980295566±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR2.csv,bert_smolemolefusion_attention,0.7933673469387755±0.0,0.7860696517412935±0.0,0.8010471204188482±0.0,0.7935583860800709±0.0,0.8392990704135058±0.0,0.7906976744186047±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR2.csv,bert_chemmolefusion_capsule,0.7857142857142857±0.0,0.7761194029850746±0.0,0.7958115183246073±0.0,0.785965460654841±0.0,0.8334374591519442±0.0,0.7835051546391751±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR2.csv,bert_chemmolefusion_dense,0.7602040816326531±0.0,0.7064676616915423±0.0,0.8167539267015707±0.0,0.7616107941965564±0.0,0.8158105181680612±0.0,0.7684729064039408±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR3.csv,bert_mole_capsule,0.7898230088495575±0.0,0.7920353982300885±0.0,0.7876106194690266±0.0,0.7898230088495576±0.0,0.8424582104228122±0.0,0.7893569844789358±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR3.csv,bert_mole_dense,0.7986725663716814±0.0,0.7566371681415929±0.0,0.7743362831858407±0.0,0.7654867256637168±0.0,0.8240188534051558±0.0,0.7675438596491228±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR3.csv,bert_mole_attention,0.7743362831858407±0.0,0.7433628318584071±0.0,0.8053097345132744±0.0,0.7743362831858408±0.0,0.8304941002949852±0.0,0.7811158798283261±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR3.csv,onehot_mole_capsule,0.7920353982300885±0.0,0.7787610619469026±0.0,0.8053097345132744±0.0,0.7920353982300886±0.0,0.8435688129386634±0.0,0.7947598253275109±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR3.csv,onehot_mole_dense,0.8030973451327433±0.0,0.7566371681415929±0.0,0.7920353982300885±0.0,0.7743362831858406±0.0,0.8304874820361546±0.0,0.7782608695652175±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR3.csv,bert_smolemolefusion_capsule,0.7920353982300885±0.0,0.8008849557522124±0.0,0.7831858407079646±0.0,0.7920353982300885±0.0,0.84444510882564±0.0,0.7901785714285713±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR3.csv,bert_smolemolefusion_dense,0.7898230088495575±0.0,0.7831858407079646±0.0,0.7964601769911505±0.0,0.7898230088495575±0.0,0.8421281446844688±0.0,0.7912087912087912±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR3.csv,bert_smolemolefusion_attention,0.8075221238938053±0.0,0.8008849557522124±0.0,0.8141592920353983±0.0,0.8075221238938053±0.0,0.8552865478996793±0.0,0.8087912087912088±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR3.csv,bert_chemmolefusion_capsule,0.7853982300884956±0.0,0.7831858407079646±0.0,0.7876106194690266±0.0,0.7853982300884956±0.0,0.8389731394487544±0.0,0.7858719646799117±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR3.csv,bert_chemmolefusion_dense,0.7942477876106194±0.0,0.7522123893805309±0.0,0.8362831858407079±0.0,0.7942477876106195±0.0,0.8447850821744626±0.0,0.802547770700637±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR3.csv,bert_chemmolefusion_dense,0.7898230088495575±0.0,0.7477876106194691±0.0,0.831858407079646±0.0,0.7898230088495575±0.0,0.8416380711576665±0.0,0.7983014861995753±0.0
dataset,classifier,accuracy,specificity,sensitivity,aucroc,aupr,f1
data/SM2miR3.csv,bert_chemmolefusion_attention,0.7920353982300885±0.0,0.7610619469026548±0.0,0.8230088495575221±0.0,0.7920353982300884±0.0,0.8432522123893804±0.0,0.7982832618025751±0.0
